statement,label
Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products.,0
"Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.",0
Meta Platforms has headquarters in United States.,1
Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0
"Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.",1
SK Hynix is an investment company that engages in the provision of value-added services and online advertising services.,0
"Enel engages in global investment banking, securities and investment management, which provides financial services.",0
Bank of Montreal has headquarters in Canada.,1
Morgan Stanley has headquarters in United States.,1
Cathay Financial operates in the industry of Chemicals.,0
Generali Group has headquarters in Switzerland.,0
AT&T operates in the industry of Trading Companies.,0
Poly Developments & Holdings Group has headquarters in China.,1
Ping An Insurance (Group) Company of China engages in the provision of financial products and services.,1
Sumitomo Mitsui Financial has headquarters in China.,0
Manulife operates in the industry of insurance.,1
"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.",1
National Australia Bank operates in the industry of banking.,1
PepsiCo has headquarters in United States.,1
Lloyds Banking Group operates in the industry of banking.,1
Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.,1
"Telefonica engages in the provision of communication, information and entertainment solutions.",1
BASF engages in the provision of chemical products.,1
KDDI operates in the industry of Materials.,0
Lowe's engages in the provision of telecommunication services.,0
KDDI has headquarters in India.,0
"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",0
"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",1
Charter Communications operates in the industry of Oil & Gas Operations.,0
Novartis operates in the industry of Banking.,0
Manulife has headquarters in Canada.,1
Citigroup has headquarters in United States.,1
Dow operates in the industry of chemicals.,1
Telefonica has headquarters in Spain.,1
BHP Group has headquarters in Canada.,0
JPMorgan Chase has headquarters in China.,0
Sberbank has headquarters in Russia.,1
Honda Motor operates in the industry of consumer durables.,1
ConocoPhillips has headquarters in United States.,1
"CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0
RBC operates in the industry of banking.,1
China Citic Bank operates in the industry of banking.,1
Itau Unibanco Holding has headquarters in Brazil.,1
VINCI operates in the industry of construction.,1
Petrobras has headquarters in Brazil.,1
Morgan Stanley has headquarters in South Korea.,0
Caterpillar operates in the industry of Trading Companies.,0
"Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.",1
"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.",0
ENGIE engages in the provision of banking and financial services.,0
Deutsche Post operates in the industry of Consumer Durables.,0
Brookfield Asset Management has headquarters in United States.,0
Mercedes-Benz Group has headquarters in United States.,0
Enel operates in the industry of electricity & gas.,1
Wells Fargo operates in the industry of banking.,1
Munich Reinsurance operates in the industry of insurance.,1
Capital One has headquarters in India.,0
Telefonica has headquarters in France.,0
Shanghai Pudong Development Bank operates in the industry of Banking.,0
Hon Hai Precision operates in the industry of technology hardware & equipment.,1
"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.",0
Bank of China engages in the provision of banking and financial services.,1
America Movil engages in the provision of telecommunications services.,1
Alibaba Group operates in the industry of retailing.,1
Bank of Communications engages in the provision of banking and financial services.,1
Mitsubishi operates in the industry of Banking.,0
China Life Insurance has headquarters in China.,1
Sberbank has headquarters in France.,0
Walmart has headquarters in Taiwan.,0
Walgreens has headquarters in China.,0
"PepsiCo operates in the industry of food, drink & tobacco.",1
"Agricultural Bank of China operates in the industry of Food, Drink & Tobacco.",0
Walmart operates in the industry of retailing.,1
HDFC Bank operates in the industry of Banking.,0
Johnson & Johnson has headquarters in Hong Kong.,0
State Bank of India engages in the provision of commercial banking services.,1
"Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products.",1
Lowe's has headquarters in United States.,1
UnitedHealth Group has headquarters in United States.,1
British American Tobacco has headquarters in United States.,1
Nestle operates in the industry of Banking.,0
Shell operates in the industry of oil & gas operations.,1
China Vanke engages in the development and sale of properties.,1
Sberbank operates in the industry of banking.,1
"Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0
Deutsche Post operates in the industry of transportation.,1
PetroChina engages in the provision of innovative memory and storage solutions.,0
Costco Wholesale has headquarters in Russia.,0
Apple has headquarters in United States.,1
BNP Paribas has headquarters in China.,0
"Accenture engages in the provision of management consulting, technology, and outsourcing services.",1
Raytheon Technologies has headquarters in China.,0
Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service.,0
Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles.,1
HCA Healthcare has headquarters in United Kingdom.,0
Intesa Sanpaolo has headquarters in Italy.,1
Tokio Marine Holdings operates in the industry of Retailing.,0
Bank of Nova Scotia has headquarters in Canada.,1
"Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.",1
"Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",0
General Motors operates in the industry of consumer durables.,1
Amazon.com operates in the industry of retailing.,1
GlaxoSmithKline is a holding company that engages in the provision of financial management solutions.,0
Costco Wholesale operates in the industry of retailing.,1
"Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.",1
Mitsubishi engages in the provision of services utilizing the function of general trading.,1
"Westpac Banking is an investment holding company, which engages in the provision of life insurance.",0
Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade.,1
Eni has headquarters in Italy.,1
Dow has headquarters in United States.,1
Mitsubishi UFJ Financial Group operates in the industry of Banking.,0
Cathay Financial has headquarters in Taiwan.,1
China Construction Bank operates in the industry of Telecommunications Services.,0
Prudential Financial operates in the industry of diversified financials.,1
Linde engages in the production and distribution of industrial gases.,1
United Parcel Service engages in the provision of telecommunication services.,0
"Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",1
American Express operates in the industry of Consumer Durables.,0
Postal Savings Bank of China operates in the industry of Consumer Durables.,0
"Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.",0
Mitsubishi has headquarters in Japan.,1
Canadian Imperial Bank of Commerce operates in the industry of Materials.,0
Bank of Nova Scotia has headquarters in Taiwan.,0
Mercedes-Benz Group has headquarters in Germany.,1
U.S. Bancorp has headquarters in South Korea.,0
Roche Holding operates in the industry of drugs & biotechnology.,1
Rio Tinto operates in the industry of materials.,1
"Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems.",0
Tencent Holdings has headquarters in China.,1
Capital One operates in the industry of banking.,1
MetLife engages in owning and operating of general merchandise stores.,0
Siemens operates in the industry of Oil & Gas Operations.,0
Hon Hai Precision has headquarters in Taiwan.,1
Mitsubishi operates in the industry of trading companies.,1
"China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities.",0
Procter & Gamble engages in the provision of branded consumer packaged goods.,1
SoftBank operates in the industry of telecommunications services.,1
Postal Savings Bank of China operates in the industry of banking.,1
"Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities.",1
Wells Fargo has headquarters in Saudi Arabia.,0
"Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.",0
UBS Group is a holding company that engages in the provision of financial management solutions.,1
"Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products.",1
China Shenhua Energy operates in the industry of Transportation.,0
"Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",1
"Anheuser-Busch InBev operates in the industry of food, drink & tobacco.",1
The Home Depot is the world's largest home improvement specialty retailer.,1
"Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products.",0
Chevron has headquarters in Germany.,0
Banco Bradesco operates in the industry of banking.,1
UnitedHealth Group operates in the industry of Diversified Financials.,0
"Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.",1
Agricultural Bank of China operates in the industry of banking.,1
CVS Health operates in the industry of retailing.,1
UnitedHealth Group has headquarters in Hong Kong.,0
Ping An Insurance (Group) Company of China has headquarters in France.,0
"Ford Motor engages in the manufacture, distribution and sale of automobiles.",1
PNC Financial Services operates in the industry of Aerospace & Defense.,0
BNP Paribas engages in the provision of banking and financial services.,1
"Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.",0
AbbVie (ABBV) has headquarters in United States.,1
Generali Group engages in the provision of insurance and financial products.,1
Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.,0
Sony operates in the industry of Banking.,0
Abbott Laboratories has headquarters in United States.,1
Wells Fargo has headquarters in United States.,1
Stellantis has headquarters in United States.,0
Oracle operates in the industry of Consumer Durables.,0
Industrial Bank has headquarters in China.,1
CVS Health has headquarters in Canada.,0
Exxon Mobil operates in the industry of Household & Personal Products.,0
Enbridge operates in the industry of Insurance.,0
"Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide.",1
Thermo Fisher Scientific has headquarters in South Korea.,0
AT&T engages in business of product trading and business investment activities.,0
Mitsubishi UFJ Financial Group has headquarters in Canada.,0
Volkswagen Group operates in the industry of consumer durables.,1
Reliance Industries operates in the industry of Semiconductors.,0
JPMorgan Chase operates as a holding company that engages in the management of its group companies.,0
Fubon Financial engages in the provision of financial services.,1
Generali Group has headquarters in Italy.,1
ArcelorMittal has headquarters in Canada.,0
"Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services.",1
Postal Savings Bank of China has headquarters in United States.,0
MetLife has headquarters in United States.,1
Capital One operates as a financial holding company that engages in the provision of financial products and services.,1
Itochu engages in business of product trading and business investment activities.,1
Deere & Company has headquarters in United States.,1
"Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services.",1
Toyota Motor operates in the industry of Banking.,0
Anthem engages in the provision of products and services that address all aspects of corporate information technology environments.,0
Sumitomo Mitsui Financial operates in the industry of banking.,1
LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.,1
"Munich Reinsurance engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",0
"Broadcom engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0
Public Joint Stock Company Gazprom operates in the industry of oil & gas operations.,1
Nestle has headquarters in Switzerland.,1
"IBM is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes.",1
MetLife has headquarters in Australia.,0
Target has headquarters in United States.,1
Iberdrola operates in the industry of Banking.,0
"KDDI engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0
SAP has headquarters in Germany.,1
Postal Savings Bank of China has headquarters in China.,1
China State Construction Engineering has headquarters in China.,1
"Univlever engages in the production and marketing of consumer goods in the nutrition, hygiene, and personal care categories.",1
Lloyds Banking Group operates in the industry of Consumer Durables.,0
"Shell engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",0
Prudential Financial has headquarters in United States.,1
"General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1
Pfizer has headquarters in United States.,1
Nippon Telegraph & Telephone is a holding company that engages in the provision of telecommunication services.,1
"Meta Platforms operates in the industry of Food, Drink & Tobacco.",0
China Telecom engages in the provision of telecommunication services.,1
Walt Disney is a diversified international family entertainment and media enterprise.,1
BHP Group has headquarters in Australia.,1
Nestle has headquarters in Mexico.,0
Intel has headquarters in Russia.,0
Nippon Telegraph & Telephone engages in the provision of banking and financial services.,0
Goldman Sachs Group operates in the industry of diversified financials.,1
ENGIE operates in the industry of Drugs & Biotechnology.,0
ConocoPhillips operates in the industry of Semiconductors.,0
Barclays operates in the industry of Retailing.,0
"Bristol Myers Squibb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products.",1
Amazon.com engages in the manufacture of luxury goods.,0
"Target is a holding company, which engages in the provision of financial services.",0
"Nestle engages in the production and distribution of cars, trucks and vans.",0
"Ford Motor engages in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products.",0
Bank of China has headquarters in China.,1
Stellantis has headquarters in Netherlands.,1
"Sony engages in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets.",1
Anthem has headquarters in United States.,1
IBM has headquarters in United States.,1
Eni has headquarters in Switzerland.,0
Japan Post Holdings has headquarters in United States.,0
"HCA Healthcare is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",1
Citigroup is a holding company that engages in the provision of financial products and services.,1
"Mitsui engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",0
GlaxoSmithKline has headquarters in Germany.,0
VINCI operates in the industry of Insurance.,0
"UnitedHealth Group engages in the provision of healthcare coverage, software and data consultancy services.",1
"Airbus Group engages in the design, manufacture, delivery and provision of aerospace products, space and related services.",1
Walt Disney has headquarters in United States.,1
Verizon Communications has headquarters in United States.,1
Dow has headquarters in Italy.,0
"Alphabet is a holding company, which engages in the business of acquisition and operation of different companies.",1
Verizon Communications has headquarters in Japan.,0
Sberbank operates in the industry of Consumer Durables.,0
Dell Technologies has headquarters in France.,0
Pfizer engages in the provision of insurance and financial products.,0
Lockheed Martin has headquarters in United States.,1
Medtronic has headquarters in Ireland.,1
"Bank of China engages in the exploration, development, production and sale of crude oil & gas. It also involves in refining, transportation, and sale of petroleum products.",0
"Verizon Communications engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0
Visa operates in the industry of United States.,0
The Home Depot operates in the industry of retailing.,1
Oracle operates in the industry of it software & services.,1
Itau Unibanco Holding has headquarters in China.,0
"Lloyds Banking Group is a financial services company, which engages in the provision of a wide range of banking and financial services.",1
Rio Tinto has headquarters in France.,0
AT&T operates in the industry of telecommunications services.,1
CITIC operates in the industry of Banking.,0
"Electricite de France engages in power generation, transmission, distribution, supply and trading activities.",1
Brookfield Asset Management operates in the industry of Consumer Durables.,0
Merck & Co. has headquarters in Drugs & Biotechnology.,1
Credit Agricole has headquarters in France.,1
Cathay Financial operates in the industry of insurance.,1
Hitachi has headquarters in Japan.,0
PNC Financial Services engages in the operation of membership warehouses.,0
Samsung Group has headquarters in South Korea.,1
Bayerische Motoren Werke (BMW) has headquarters in Germany.,1
BHP Group provides insurance and financial services to individual and institutional customers.,0
BBVA operates in the industry of banking.,1
The Home Depot engages in the provision of telecommunication and information technology services.,0
Toyota Motor has headquarters in United States.,0
"Iberdrola is a holding company that engages in the generation, distribution, trading and marketing of electricity.",1
American Express operates in the industry of diversified financials.,1
Moller - Maersk has headquarters in Australia.,0
Fubon Financial operates in the industry of insurance.,1
AXA operates in the industry of insurance.,1
Alphabet operates in the industry of Oil & Gas Operations.,0
LVMH Moet Hennessy Louis Vuitton engages in the manufacture of luxury goods.,1
"Intel engages in the design, manufacture and sale of computer products and technologies.",1
JPMorgan Chase is a financial holding company. It provides financial and investment banking services.,1
China Merchants Bank has headquarters in United States.,0
Public Joint Stock Company Gazprom has headquarters in Russia.,1
Univlever engages in the provision of banking and financial solutions.,0
Honeywell operates in the industry of conglomerates.,1
Visa has headquarters in United States.,1
ENGIE has headquarters in France.,1
Industrial Bank operates in the industry of banking.,1
Broadcom operates in the industry of semiconductors.,1
Hyundai Motor has headquarters in South Korea.,1
Rosneft operates in the industry of Gas & Oil Operations.,0
BP operates as an integrated oil and gas company.,1
Shell has headquarters in Canada.,0
Raytheon Technologies has headquarters in United States.,1
Walgreens has headquarters in United States.,1
Roche Holding has headquarters in Switzerland.,1
Ford Motor has headquarters in Japan.,0
GlaxoSmithKline has headquarters in United Kingdom.,1
Vale operates in the industry of Banking.,0
Iberdrola has headquarters in Canada.,0
Novartis has headquarters in Japan.,0
Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of oil & gas operations.,1
CNOOC operates in the industry of oil & gas operations.,1
BHP Group operates in the industry of Insurance.,0
Ping An Insurance (Group) Company of China operates in the industry of Banking.,0
Banco Bradesco engages in the provision of financial and insurance services.,1
"Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations.",1
Raytheon Technologies operates in the industry of Banking.,0
America Movil has headquarters in Switzerland.,0
China Mobile has headquarters in Russia.,0
Anglo American operates in the industry of materials.,1
U.S. Bancorp operates in the industry of banking.,1
Accenture operates in the industry of it software & services.,1
UBS Group operates in the industry of Aerospace & Defense.,0
Chubb has headquarters in China.,0
Brookfield Asset Management operates in the industry of diversified financials.,1
Apple engages in the provision of banking and related financial services.,0
Procter & Gamble is the world's largest home improvement specialty retailer.,0
"Wells Fargo is a diversified, community-based financial services company.",1
Charter Communications operates in the industry of media.,1
Hon Hai Precision has headquarters in United States.,0
SK Hynix operates in the industry of semiconductors.,1
"Prudential Financial engages in the provision of financial products and services including life insurance, annuities, mutual funds, and investment management to both individual and institutional customers.",1
Honeywell operates in the industry of IT Software & Services.,0
China Construction Bank has headquarters in United States.,0
Lockheed Martin has headquarters in Ireland.,0
Saudi Arabian Oil Company (Saudi Aramco) has headquarters in Saudi Arabia.,1
Anthem has headquarters in Spain.,0
Visa engages in the provision of insurance and investment advisory services.,0
China Telecom has headquarters in Germany.,0
Moller - Maersk operates in the industry of transportation.,1
Rosneft has headquarters in United States.,0
General Motors has headquarters in Drugs & Biotechnology.,0
ANZ has headquarters in Australia.,1
Shanghai Pudong Development Bank provides banking and financial services.,1
Caterpillar has headquarters in Rome.,0
"Cisco Systems engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0
"Total produces and markets fuels, natural gas and low-carbon electricity.",1
PNC Financial Services has headquarters in United States.,1
Alibaba Group operates in the industry of Construction.,0
Siemens operates in the industry of conglomerates.,1
"Eni is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",0
Chevron operates in the industry of Banking.,0
Micron Technology has headquarters in United States.,1
ENGIE has headquarters in United States.,0
Equinor operates in the industry of oil & gas operations.,1
CNOOC has headquarters in Japan.,0
"Truist Financial operates as a financial holding company, which engages in the provision of banking services to individuals, businesses and municipalities.",1
Microsoft operates in the industry of Transportation.,0
AIA Group has headquarters in United States.,0
Costco Wholesale operates in the industry of Materials.,0
BASF is a financial holding company. It provides financial and investment banking services.,0
"Siemens engages in property development, commodity residential building distribution, and property management.",0
Santander has headquarters in Spain.,1
Deutsche Telekom operates as a financial holding company that engages in the provision of financial products and services.,0
Visa operates in the industry of business services & supplies.,1
America Movil operates in the industry of telecommunications services.,1
Apple operates in the industry of Construction.,0
PNC Financial Services operates in the industry of banking.,1
BlackRock has headquarters in United States.,1
Cathay Financial engages in the provision of financial services.,1
CNOOC has headquarters in Hong Kong.,1
Exxon Mobil has headquarters in United States.,1
"China Citic Bank produces and markets fuels, natural gas and low-carbon electricity.",0
Costco Wholesale engages in the operation of membership warehouses.,1
British American Tobacco operates as a global financial services company.,0
Deutsche Telekom engages in the provision of telecommunication and information technology services.,1
Bank of America operates in the industry of Aerospace & Defense.,0
Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of Trading Companies.,0
"BNP Paribas is a financial services company, which engages in the provision of a wide range of banking and financial services.",0
"Sony engages in the provision of digital payment services. It also facilitates global commerce through the transfer of value and information among global network of consumers, merchants, financial institutions, businesses, strategic partners, and government entities.",0
IBM operates in the industry of Insurance.,0
Cathay Financial has headquarters in Russia.,0
"Abbott Laboratories is a holding company that engages in the research and development, manufacture and sale of products in the healthcare field.",0
"HSBC Holdings is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",0
Cisco Systems has headquarters in Japan.,0
China Vanke has headquarters in Australia.,0
Microsoft has headquarters in United States.,1
MetLife operates in the industry of insurance.,1
Coca-Cola has headquarters in United States.,1
Oracle engages in the provision of products and services that address all aspects of corporate information technology environments.,1
FedEx has headquarters in United States.,1
China Construction Bank operates in the industry of banking.,1
LukOil has headquarters in China.,0
PepsiCo has headquarters in Australia.,0
Deutsche Post has headquarters in Germany.,1
AXA engages in providing online and mobile marketplaces in retail and wholesale trade.,0
Linde operates in the industry of Construction.,0
Tesla has headquarters in Canada.,0
Westpac Banking operates in the industry of Consumer Durables.,0
SK Hynix operates in the industry of Conglomerates.,0
"BlackRock engages in providing investment management, risk management, and advisory services for institutional and retail clients worldwide.",1
Thermo Fisher Scientific operates in the industry of healthcare equipment & services.,1
ENGIE operates in the industry of oil & gas operations.,1
Electricite de France has headquarters in France.,1
American International Group operates in the industry of insurance.,1
"Vale engages in the production and exportation of iron ore, pellets, manganese and iron alloys, which are raw materials needed for steelmaking.",1
Raytheon Technologies engages in the provision of mail and logistics services.,0
American International Group has headquarters in Ireland.,0
LVMH Moet Hennessy Louis Vuitton has headquarters in Japan.,0
"AbbVie (ABBV) is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products.",1
Hitachi engages in the manufacture and sale of electrical equipment.,1
